name,recclass,mass,fall,year,reclat,reclong
Jiddat al Harasis 659,L3.6,2191.4,Found,2011,19.951190,56.326860
Sayh al Uhaymir 547,L5,2353,Found,2011,20.099770,56.705070
Sayh al Uhaymir 544,H5,670,Found,2011,20.388480,57.002980
Sayh al Uhaymir 543,L5/6,3404,Found,2011,20.511820,57.286930
Sayh al Uhaymir 542,H6,2850,Found,2011,20.512280,57.283270
Sayh al Uhaymir 546,H5,1031.7,Found,2011,20.599470,57.142940
Sayh al Uhaymir 541,H6,3298,Found,2011,20.765780,57.283320
Sayh al Uhaymir 556,H6,2075,Found,2011,21.040350,57.043580
Northwest Africa 7662,L5,882,Found,2011,24.775830,-14.562830
Northwest Africa 6963,Martian (shergottite),8000,Found,2011,28.002467,-11.131583
Tissint,Martian (shergottite),7000,Fell,2011,29.481950,-7.611230
Anthony Gap,L6,347.36,Found,2011,32.005840,-106.560280
Ksar Ghilane 007,H6,5381,Found,2011,32.758320,9.859300
Tin as Sawwan,L4-5,1684,Found,2011,32.760500,9.100200
Rio Rancho,L6,1001,Found,2011,35.300000,-106.633330
Spruce 001,L5,983,Found,2011,40.801000,-114.701000
Kumtag 003,H5,1260,Found,2011,41.500000,93.550000
Kumtag 002,L4,557,Found,2011,41.500000,93.550000
Timber Lake,H3,8660,Found,2011,45.425000,-101.097000
Sołtmany,L6,1066,Fell,2011,54.008830,22.005000
Grove Mountains 090994,Mesosiderite,369.1,Found,2010,-72.984890,75.248670
Grove Mountains 090331,H5,485.7,Found,2010,-72.825310,75.355440
Grove Mountains 090004,L6,698.93,Found,2010,-72.779220,75.315470
Grove Mountains 090005,L5,365.85,Found,2010,-72.779220,75.315470
Grove Mountains 090755,L5,453.7,Found,2010,-72.778860,75.314470
Grove Mountains 090105,L5,622.9,Found,2010,-72.777810,75.315470
Grove Mountains 090166,L5,562,Found,2010,-72.777720,75.312690
Grove Mountains 090142,L5,354.65,Found,2010,-72.777470,75.312750
Ooldea 001,L6,587.4,Found,2010,-30.546030,131.970500
San Juan 063,H5,3384,Found,2010,-25.583330,-69.783330
San Juan 064,L6,656,Found,2010,-25.583330,-69.783330
San Juan 065,H4,459,Found,2010,-25.583330,-69.783330
San Juan 066,L6,441,Found,2010,-25.583330,-69.783330
San Juan 062,H5,1125,Found,2010,-25.425170,-69.690170
Catalina 028,H5,4993,Found,2010,-25.233330,-69.716670
Catalina 019,H4,3191,Found,2010,-25.233330,-69.716670
Catalina 027,L6,2408,Found,2010,-25.233330,-69.716670
Catalina 020,L6,2084,Found,2010,-25.233330,-69.716670
Catalina 031,L~6,1178,Found,2010,-25.233330,-69.716670
Catalina 032,H4,1107,Found,2010,-25.233330,-69.716670
Catalina 018,L6,1018,Found,2010,-25.233330,-69.716670
Catalina 016,H4,647,Found,2010,-25.233330,-69.716670
Catalina 011,H~5,573,Found,2010,-25.233330,-69.716670
Catalina 013,H4,428,Found,2010,-25.233330,-69.716670
Catalina 017,H5,426,Found,2010,-25.233330,-69.716670
El Médano 153,H3,6038,Found,2010,-24.850000,-70.533330
El Médano 005,L6,582,Found,2010,-24.850000,-70.533330
El Médano 029,L5,392,Found,2010,-24.850000,-70.533330
Los Vientos 002,L6,30750,Found,2010,-24.683330,-69.766670
Los Vientos 020,H4,8100,Found,2010,-24.683330,-69.766670
Los Vientos 008,H5,1617,Found,2010,-24.683330,-69.766670
Los Vientos 005,H3,1431,Found,2010,-24.683330,-69.766670
Los Vientos 007,H5/6,701,Found,2010,-24.683330,-69.766670
Varre-Sai,L5,2500,Fell,2010,-20.850010,-41.733560
Shişr 176,L6,1170,Found,2010,18.220120,53.820970
Dhofar 1576,L5,7700,Found,2010,18.516670,54.233330
Dhofar 1701,H5,984,Found,2010,18.520650,54.479850
Dhofar 1710,H6,800,Found,2010,18.617980,54.277750
Dhofar 1702,H6,537,Found,2010,18.728920,54.372550
Dhofar 1700,L6,39000,Found,2010,18.866220,54.679670
Dhofar 1707,L6,463,Found,2010,18.874030,54.480700
Dhofar 1716,H5,1540,Found,2010,18.910250,54.631850
Dhofar 1698,H6,450,Found,2010,18.927830,54.606230
Dhofar 1719,L6,461,Found,2010,18.977520,54.629230
Dhofar 1714,L6,562,Found,2010,18.980730,54.648600
Dhofar 1723,H6,536,Found,2010,18.989550,54.683670
Dhofar 1706,L6,589,Found,2010,19.015080,54.579030
Dhofar 1697,H6,387,Found,2010,19.062520,54.559530
Dhofar 1722,H5,25000,Found,2010,19.081880,54.714720
Dhofar 1694,H6,740,Found,2010,19.109780,54.816970
Dhofar 1696,H6,936,Found,2010,19.143330,54.655830
Dhofar 1724,H4,1768,Found,2010,19.300850,54.833330
Jiddat al Harasis 648,H4,1577.9,Found,2010,19.401780,56.565930
Jiddat al Harasis 645,H5,3030,Found,2010,19.438270,56.608020
Jiddat al Harasis 650,H5,868,Found,2010,19.505430,56.543330
Jiddat al Harasis 646,H4,3020,Found,2010,19.518780,56.666000
Jiddat al Harasis 635,LL5,397.8,Found,2010,19.668890,55.742700
Jiddat al Harasis 639,LL5,802,Found,2010,19.758440,55.714850
Jiddat al Harasis 626,Eucrite-pmict,466,Found,2010,19.784830,55.959170
Jiddat al Harasis 629,L4,888,Found,2010,19.789910,55.966350
Jiddat al Harasis 630,L5,3036,Found,2010,19.797590,55.890890
Jiddat al Harasis 644,L6,2272.8,Found,2010,19.812200,56.670580
Jiddat al Harasis 647,L6,365.6,Found,2010,19.819950,56.660370
Jiddat al Harasis 632,LL5,421,Found,2010,19.884600,56.514060
Ramlat as Sahmah 384,Mesosiderite-C2,5026,Found,2010,20.004900,56.404730
Sayh al Uhaymir 527,LL4,379,Found,2010,20.030240,56.648010
Ramlat as Sahmah 389,L4-6,785.1,Found,2010,20.051250,55.630580
Sayh al Uhaymir 555,H4/5,1324,Found,2010,20.051320,56.592220
Ramlat as Sahmah 385,LL3.3,2275,Found,2010,20.054730,56.461930
Ramlat as Sahmah 397,L6,1118.8,Found,2010,20.146500,55.709130
Ramlat as Sahmah 395,L6,982.5,Found,2010,20.146900,55.709220
Ramlat as Sahmah 399,L6,6319,Found,2010,20.151220,55.709250
Ramlat as Sahmah 401,L3.8,473.8,Found,2010,20.187580,55.667630
Sayh al Uhaymir 554,H6,2022,Found,2010,20.240950,56.642400
Ramlat as Sahmah 354,H6,3873.8,Found,2010,20.317770,55.593980
Ramlat as Sahmah 416,H5,385.8,Found,2010,20.335320,56.202630
Sayh al Uhaymir 504,L5/6,20000,Found,2010,20.383330,56.766670
Ramlat as Sahmah 418,L6,28791,Found,2010,20.393600,56.220020
Ramlat as Sahmah 421,L6,2841,Found,2010,20.424580,56.278170
Ramlat as Sahmah 357,L6,2781.2,Found,2010,20.431820,55.533230
Ramlat as Sahmah 343,H5,1192,Found,2010,20.495170,55.524370
Ramlat as Sahmah 422,H3.7-5,3879,Found,2010,20.505200,56.484380
Ramlat as Sahmah 363,H6,611.62,Found,2010,20.505820,55.831830
Ramlat as Sahmah 367,H4-6,352.78,Found,2010,20.519420,55.852870
Sayh al Uhaymir 526,LL6,806,Found,2010,20.525960,56.797250
Sayh al Uhaymir 536,H5,412.8,Found,2010,20.537380,56.989170
Ramlat as Sahmah 377,H4,416.27,Found,2010,20.546280,56.013650
Ramlat as Sahmah 381,L6,1628.1,Found,2010,20.568080,56.281350
Ramlat as Sahmah 378,H5,1649.2,Found,2010,20.572580,56.054980
Ramlat as Sahmah 380,H5,457.8,Found,2010,20.587970,56.122630
Sayh al Uhaymir 552,L6,1484,Found,2010,20.596270,57.159170
Sayh al Uhaymir 503,CV3,815,Found,2010,20.616670,57.033330
Ramlat as Sahmah 342,H4,519.3,Found,2010,20.760320,55.433350
Ramlat as Sahmah 340,L6,414.1,Found,2010,20.793150,55.464930
